NAME;LON;LAT;F_MHZ;CHANNEL;H_TRAN;POLARIZ;ERP_0;ERP_10;ERP_20;ERP_30;ERP_40;ERP_50;ERP_60;ERP_70;ERP_80;ERP_90;ERP_100;ERP_110;ERP_120;ERP_130;ERP_140;ERP_150;ERP_160;ERP_170;ERP_180;ERP_190;ERP_200;ERP_210;ERP_220;ERP_230;ERP_240;ERP_250;ERP_260;ERP_270;ERP_280;ERP_290;ERP_300;ERP_310;ERP_320;ERP_330;ERP_340;ERP_350
Laukuva;22,342500;55,575556;610;38;91;H;28,3;27,8;27,3;25,8;25,3;25,3;25,8;27,3;27,8;28,3;27,8;27,3;25,8;25,3;25,3;25,8;27,3;27,8;28,3;27,8;27,3;25,8;25,3;25,3;25,8;27,3;27,8;28,3;27,8;27,3;25,8;25,3;25,3;25,8;27,3;27,8
Laukuva;22,342500;55,575556;786;60;91;H;28,3;27,8;27,3;25,8;25,3;25,3;25,8;27,3;27,8;28,3;27,8;27,3;25,8;25,3;25,3;25,8;27,3;27,8;28,3;27,8;27,3;25,8;25,3;25,3;25,8;27,3;27,8;28,3;27,8;27,3;25,8;25,3;25,3;25,8;27,3;27,8
Lazdijai;23,568333;54,196944;682;47;63;H;29,5;29,8;29,9;29,9;29,9;29,9;29,9;29,8;29,5;28,9;28,8;29,1;29,5;29,9;30,2;30,9;31,3;31,8;31,9;32,3;32,5;32,7;32,7;32,7;32,5;32,3;31,9;31,8;31,3;30,9;30,2;29,9;29,5;29,1;28,8;28,9
Marijampolė;23,353056;54,529167;570;33;65;H;29,0;28,7;28,0;26,7;26,0;26,0;26,7;27,5;28,7;29,0;28,7;28,0;26,7;26,0;26,0;26,7;27,5;28,7;29,0;28,7;28,0;26,7;26,0;26,0;26,7;27,5;28,7;29,0;28,7;28,0;26,7;26,0;26,0;26,7;27,5;28,7
Marijampolė;23,353056;54,529167;618;39;65;H;29,2;28,9;28,2;26,9;26,2;26,2;26,9;27,7;28,9;29,2;28,9;28,2;26,9;26,2;26,2;26,9;27,7;28,9;29,2;28,9;28,2;26,9;26,2;26,2;26,9;27,7;28,9;29,2;28,9;28,2;26,9;26,2;26,2;26,9;27,7;28,9
Marijampolė;23,353056;54,529167;778;59;75;H;31,9;31,9;31,7;30,9;29,9;29,9;30,9;31,7;31,9;31,9;31,9;31,7;30,9;29,9;29,9;30,9;31,7;31,9;31,9;31,9;31,7;30,9;29,9;29,9;30,9;31,7;31,9;31,9;31,9;31,7;30,9;29,9;29,9;30,9;31,7;31,9
Mažeikiai;22,338611;56,302778;594;36;103;H;31,6;31,6;31,4;30,6;29,6;29,6;30,6;31,4;31,6;31,6;31,6;31,4;30,6;29,6;29,6;30,6;31,4;31,6;31,6;31,6;31,4;30,6;29,6;29,6;30,6;31,4;31,6;31,6;31,6;31,4;30,6;29,6;29,6;30,6;31,4;31,6
Mažeikiai;22,338611;56,302778;610;38;103;H;31,8;31,5;30,8;29,5;28,8;28,8;29,5;30,3;31,5;31,8;31,5;30,8;29,5;28,8;28,8;29,5;30,3;31,5;31,8;31,5;30,8;29,5;28,8;28,8;29,5;30,3;31,5;31,8;31,5;30,8;29,5;28,8;28,8;29,5;30,3;31,5
Mažeikiai;22,338611;56,302778;786;60;103;H;31,8;31,5;30,8;29,5;28,8;28,8;29,5;30,3;31,5;31,8;31,5;30,8;29,5;28,8;28,8;29,5;30,3;31,5;31,8;31,5;30,8;29,5;28,8;28,8;29,5;30,3;31,5;31,8;31,5;30,8;29,5;28,8;28,8;29,5;30,3;31,5
Molėtai;25,411111;55,221667;762;57;105;H;30,4;29,9;28,3;28,1;30,4;30,8;27,7;27,6;29,4;30,4;29,9;28,3;28,1;30,4;30,8;27,7;27,6;29,4;30,4;29,9;28,3;28,1;30,4;30,8;27,7;27,6;29,4;30,4;29,9;28,3;28,1;30,4;30,8;27,7;27,6;29,4
Molėtai;25,411111;55,221667;762;57;105;H;35,1;34,7;33,1;32,9;35,1;35,6;32,5;32,4;34,2;35,1;34,7;33,1;32,9;35,1;35,6;32,5;32,4;34,2;35,1;34,7;33,1;32,9;35,1;35,6;32,5;32,4;34,2;35,1;34,7;33,1;32,9;35,1;35,6;32,5;32,4;34,2
